Session,Total Queries,Categories,Avg Satisfaction,Unknown Queries
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 13:31:51,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,0,{},0,[]
2025-04-04 20:10:19,1,"{""features"": 1, ""content"": 1}",0,[]
2025-04-04 20:10:19,2,"{""features"": 2, ""content"": 1, ""compatibility"": 1}",0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,0,{},0,[]
2025-04-04 20:11:28,1,"{""features"": 1, ""compatibility"": 1}",0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,0,{},0,[]
2025-04-04 20:11:42,1,"{""pricing"": 1, ""region"": 1}",0,[]
2025-04-04 20:11:42,2,"{""pricing"": 1, ""region"": 1, ""features"": 1, ""compatibility"": 1}",0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,0,{},0,[]
2025-04-04 20:14:02,1,"{""pricing"": 1, ""region"": 1}",0,[]
2025-04-04 20:14:02,2,"{""pricing"": 1, ""region"": 1, ""features"": 1, ""compatibility"": 1}",0,[]
